Université de Fribourg Unifr,Unifr,University of Fribourg,grid.8534.a,022fs9h90,I154338468,openorgs____::0000098195
Université de Genève UNIGE,UNIGE,University Hospital of Geneva,grid.150338.c,01m1pv723,I4210106256,openorgs____::0000000467
Université de Genève UNIGE,UNIGE,Idiap Research Institute,grid.482253.a,05932h694,I7495430,openorgs____::0000071845
Université de Genève UNIGE,UNIGE,NCCR Chemical Biology - Visualisation and Control of Biological Processes Using Chemistry,grid.509972.0,033f9yy33,I4210129591,
Université de Genève UNIGE,UNIGE,Swiss Cancer Center Léman,grid.511014.0,03kwyfa97,I4210149244,
Université de Genève UNIGE,UNIGE,University of Geneva,grid.8591.5,01swzsf04,I114457229,openorgs____::0000098203
Université de Lausanne UNIL,UNIL,Institut Supérieur pour l'Étude des Religions et de la Laïcité,grid.482742.f,01ap27310,I4210100035,
Université de Lausanne UNIL,UNIL,Institute of Social and Preventive Medicine,grid.482968.9,038esz880 (inactive) -> 04mcdza51,i4210135124,openorgs____::0000072539
Université de Lausanne UNIL,UNIL,Formation Continue UNIL-EPFL,grid.483376.d,016fqsx25,I4210100659,openorgs____::0000072945
Université de Lausanne UNIL,UNIL,Cantonal and University Library of Lausanne,grid.507547.4,010dca812,I4210101498,openorgs____::0000096669
Université de Lausanne UNIL,UNIL,Swiss Cancer Center Léman,grid.511014.0,03kwyfa97,I4210149244,
Université de Lausanne UNIL,UNIL,University Hospital of Lausanne,grid.8515.9,05a353079,I2802229882,openorgs____::0000098193
Université de Lausanne UNIL,UNIL,University of Lausanne,grid.9851.5,019whta54,I97565354,openorgs____::0000098313
Universität Luzern Unilu,Unilu,University of Lucerne,grid.449852.6,00kgrkn83,I161941770,openorgs____::0000040003
Université de Neuchâtel UniNE,UniNE,University of Neuchâtel,grid.10711.36,00vasag41,I57825437,openorgs____::0000000117
Université de Neuchâtel UniNE,UniNE,International Centre for Sports Studies,grid.483090.6,034w84t89,I4210126212,openorgs____::0000072662
Università della Svizzera italiana USI,USI,University of Lugano,grid.29078.34,03c4atk17,I57201433,openorgs____::0000002708
Università della Svizzera italiana USI,USI,Dalle Molle Institute for Artificial Intelligence Research,grid.469945.3,013355g38,I2614128279,openorgs____::0000059721
Universität Zürich UZH,UZH,University Hospital of Zurich,grid.412004.3,01462r250,I4210100468,openorgs____::0000004466
Universität Zürich UZH,UZH,University Children's Hospital Zurich,grid.412341.1,035vb3h42,I4210128593,openorgs____::0000004775
Universität Zürich UZH,UZH,Institute for Biomedical Engineering,grid.482286.2,00baskk38,I4210090941,openorgs____::0000071878
Universität Zürich UZH,UZH,Hartmann Müller Foundation,grid.483845.6,05dn7bp33,I4210164351,openorgs____::0000073409
Universität Zürich UZH,UZH,Laboratory for Social and Neural Systems Research,grid.484484.0,021p56f43,I4210115727,openorgs____::0000074032
Universität Zürich UZH,UZH,University of Zurich,grid.7400.3,02crff812,I202697423,openorgs____::0000097991
Zürcher Hochschule für angewandte Wissenschaften ZHAW,ZHAW,Zurich University of Applied Sciences,grid.19739.35,05pmsvm27,I858936495,openorgs____::0000000750
Zürcher Hochschule der Künste ZHdk,ZHdk,Zurich University of the Arts,grid.449912.3,05r0ap620,I64152125,openorgs____::0000040062
